Fighter,Wins,WinsByKO,WinsBySubmission,WinsByDecision,Losses,HeightCms,ReachCms,AvgSigStrLanded,AvgTDLanded,AvgSigStrPct,AvgSubAtt,Stance,WeightLbs,Age,KoPct,SubPct,DecPct,AvgRounds,Elo,OpponentElo,SigStrAbsorbed,CurrentWinStreak,FinishL5,LossesByKO,LossesBySub,LossesByDec,WinPct,TotalRoundsFought,WeightClass,Gender
Jamahal Hill,7,5,0,2,3,193.04,200.66,6.19,0.0,0.51,0.0,Southpaw,205,34,0.7142857142857143,0.0,0.2857142857142857,2.4,1542.9015335773956,1522.7543191753498,3.35,0,4.0,3.0,0.0,0.0,0.7,24,Light Heavyweight,MALE
Khalil Rountree,9,7,0,2,6,185.42,193.04,3.79,0.0,0.4,0.1,Southpaw,205,35,0.7777777777777778,0.0,0.2222222222222222,2.2,1552.10695978768,1520.6910472109278,4.16,0,4.0,2.0,0.0,1.0,0.6,33,Light Heavyweight,MALE
Rafael Fiziev,6,3,0,3,4,172.72,180.34,4.77,0.89,0.52,0.0,Switch,155,32,0.5,0.0,0.5,2.7,1544.9077946096245,1528.9971730775508,4.97,0,3.0,1.0,0.0,1.0,0.6,27,Lightweight,MALE
Ignacio Bahamondes,7,4,2,1,2,190.5,190.5,6.55,0.0,0.45,0.4,Orthodox,155,27,0.5714285714285714,0.2857142857142857,0.1428571428571428,2.2222222222222223,1570.0304760497825,1511.02485054131,4.36,3,4.0,0.0,0.0,2.0,0.7777777777777778,20,Lightweight,MALE
Curtis Blaydes,13,8,0,5,5,193.04,203.2,3.56,5.38,0.5,0.0,Orthodox,265,34,0.6153846153846154,0.0,0.3846153846153846,2.333333333333333,1554.3451142449214,1541.8974800052647,1.89,0,3.0,3.0,0.0,0.0,0.7222222222222222,42,Heavyweight,MALE
Rizvan Kuniev,2,2,0,0,0,193.04,193.04,4.45,1.45,0.58,0.0,Orthodox,240,33,1.0,0.0,0.0,2.0,1500.0,1554.3451142449214,1.55,2,0.0,0.0,0.0,0.0,1.0,4,Heavyweight,MALE
Nazim Sadykhov,4,3,1,0,0,177.8,175.26,5.55,1.29,0.5,0.3,Southpaw,155,31,0.75,0.25,0.0,3.0,1550.625406251086,1506.9588535022554,5.72,4,5.0,0.0,0.0,0.0,1.0,12,Lightweight,MALE
Nikolas Motta,4,2,0,2,2,175.26,177.8,4.13,0.0,0.38,0.0,Orthodox,155,32,0.5,0.0,0.5,2.333333333333333,1516.904422089135,1507.5320269018266,4.61,2,3.333333333333333,2.0,0.0,0.0,0.6666666666666666,14,Lightweight,MALE
Muhammad Naimov,4,2,0,2,2,175.26,177.8,2.61,1.69,0.4,0.2,Orthodox,145,30,0.5,0.0,0.5,2.5,1551.4984882254305,1505.0197892367532,4.66,1,2.5,0.0,1.0,0.0,0.6666666666666666,15,Featherweight,MALE
Bogdan Grad,2,1,0,1,1,172.72,177.8,4.44,3.31,0.51,0.0,Orthodox,145,29,0.5,0.0,0.5,2.0,1518.9845787429808,1516.92181709538,9.4,2,5.0,0.0,0.0,0.0,0.6666666666666666,6,Featherweight,MALE
Seokhyeon Ko,1,0,0,1,0,177.8,180.34,2.9,4.0,0.52,0.5,Southpaw,170,31,0.0,0.0,1.0,3.0,1500.0,1547.4415084124605,3.735042583392478,1,0.0,0.0,0.0,0.0,1.0,3,Welterweight,MALE
Oban Elliott,4,1,0,3,0,182.88,182.88,3.5,1.7,0.48,0.0,Orthodox,170,27,0.25,0.0,0.75,3.0,1547.4415084124605,1497.8065395170331,2.8,4,1.6666666666666667,0.0,0.0,0.0,1.0,12,Welterweight,MALE
Ismail Naurdiev,3,0,0,3,2,177.8,187.96,3.69,1.5,0.52,0.2,Orthodox,185,28,0.0,0.0,1.0,3.0,1503.2541506681018,1515.13079937197,1.3,1,0.0,0.0,0.0,2.0,0.6,15,Middleweight,MALE
JunYong Park,8,0,3,5,3,177.8,185.42,4.59,1.87,0.5,0.9,Orthodox,185,34,0.0,0.375,0.625,2.4545454545454546,1528.0766326080532,1506.4688789521272,3.66,1,3.0,1.0,0.0,1.0,0.7272727272727273,27,Middleweight,MALE
Daria Zhelezniakova,1,0,0,1,1,175.26,172.72,4.75,0.44,0.41,0.0,Orthodox,135,29,0.0,0.0,1.0,2.0,1503.5570125135512,1519.537456536313,3.735042583392478,0,0.0,0.0,1.0,0.0,0.5,4,Bantamweight,FEMALE
Melissa Mullins,2,1,0,1,1,170.18,172.72,3.71,2.03,0.5,0.0,Orthodox,135,33,0.5,0.0,0.5,2.333333333333333,1515.8669986562022,1508.2719559708985,3.963167144906744,1,2.5,1.0,0.0,0.0,0.6666666666666666,7,Bantamweight,FEMALE
Tagir Ulanbekov,5,0,2,3,1,170.18,177.8,3.37,2.94,0.49,1.6,Southpaw,125,33,0.0,0.4,0.6,2.5,1548.644599770775,1509.426271462782,3.29,3,2.0,0.0,0.0,1.0,0.8333333333333334,15,Flyweight,MALE
Azat Maksum,1,0,0,1,1,170.18,177.8,3.24,2.33,0.28,0.3,Southpaw,125,30,0.0,0.0,1.0,3.0,1493.9163728438746,1512.704407701557,5.4,0,0.0,0.0,0.0,1.0,0.5,6,Flyweight,MALE
Hamdy Abdelwahab,1,0,0,1,0,187.96,182.88,3.49,1.33,0.49,0.0,Southpaw,264,32,0.0,0.0,1.0,6.0,1510.406659384823,1513.7010384712817,3.13,1,0.0,0.0,0.0,0.0,1.0,6,Heavyweight,MALE
Mohammed Usman,3,1,0,2,2,187.96,200.66,3.85,0.56,0.39,0.0,Orthodox,239,36,0.3333333333333333,0.0,0.6666666666666666,2.8,1513.265486708497,1497.19495573445,3.96,0,1.6666666666666667,0.0,0.0,2.0,0.6,14,Heavyweight,MALE
Kamaru Usman,15,4,1,10,3,182.88,193.04,4.16,2.79,0.51,0.1,Switch,170,38,0.2666666666666666,0.0666666666666666,0.6666666666666666,3.6666666666666665,1525.2043259073394,1550.580107305406,2.74,0,2.5,1.0,0.0,0.0,0.8333333333333334,66,Welterweight,MALE
