,Fighter,Odds,KOOdds,SubOdds,DecOdds
0,Jacobe Smith,-2500,-265,525,650
1,Niko Price,1200,1800,3500,1900
2,Jhonata Diniz,-480,-175,1800,340
3,Antonio Carlos Junior,,,,
4,Alexandr Romanov,145,900,340,700
5,Rodrigo Nascimento,245,1300,1300,430
6,Charles Oliveira,330,1050,650,1600
7,Ilia Topuria,-425,-175,600,800
8,Alexandre Pantoja,-265,650,235,200
9,Felipe Lima,-180,750,600,125
10,Payton Talbott,150,420,1600,375
11,Beneil Dariush,136,360,1100,255
12,Renato Moicano,-162,425,500,390
13,Brandon Royval,-125,700,850,205
14,Joshua van,105,440,1700,185
15,Hyder Amil,122,340,1150,425
16,Jose Delgado,-145,320,440,360
17,Gregory Rodrigues,-192,210,850,215
18,Jack Hermansson,160,950,1400,310
19,Terrance McKinney,-155,180,350,1500
20,Viacheslav Borshchev,130,200,1900,850
21,Tracy Cortez,-225,2000,1300,-175
22,Viviane Araujo,185,1400,1050,300
23,Derrick Lewis,170,,,
24,Dustin Poirier,-102,,,
25,Max Holloway,-118,,,
26,Reinier de Ridder,,,,
27,Robert Whittaker,-162,,,
28,Dricus Du Plessis,,,,
29,Khamzat Chimaev,-180,,,
30,Alex Pereira,135,200,2200,450
31,Israel Adesanya,-155,300,1400,175
32,Brandon Moreno,-135,550,500,200
33,Deiveson Figueiredo,115,350,1200,250
34,Bryce Mitchell,135,1100,500,275
35,Ilia Topuria,-155,300,550,400
36,Carla Esparza,320,1800,1600,400
37,Zhang Weili,-390,110,700,225
38,Dustin Poirier,-195,130,650,300
39,Michael Chandler,165,400,900,650
