RedFighter,BlueFighter,Winner,WinnerName,WeightClass,Gender,Finish,FinishDetails,RedWins,RedWinsByKO,RedWinsBySubmission,RedWinsByDecision,RedLosses,BlueWins,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByDecision,BlueLosses,RedHeightCms,BlueHeightCms,RedReachCms,BlueReachCms,RedAvgSigStrLanded,RedAvgTDLanded,RedAvgSigStrPct,RedAvgSubAtt,BlueAvgSigStrLanded,BlueAvgTDLanded,BlueAvgSigStrPct,BlueAvgSubAtt,RedStance,BlueStance,RedWeightLbs,RedAge,WinStreakDif,WinDif,LossDiff,KODif,SubDif,DecDif,HeightDif,ReachDif,AgeDif,SigStrDif,StrPctDif,TDDif,SubAttDif,categorical_outcome,winner_number,StrikeTotal,StrikeAccuracyAvg,RedKoPct,BlueKoPct,RedSubPct,BlueSubPct,RedDecPct,BlueDecPct,RedAvgRounds,BlueAvgRounds,KoPctDif,SubPctDif,DecPctDif,AvgRoundsDif,ExperienceDif,RedElo,BlueElo,EloDif,RedOpponentElo,BlueOpponentElo,OpponentEloDif,RedSigStrAbsorbed,BlueSigStrAbsorbed,SigStrAbsorbedDif,FinishPctDif,TotalSigStrAbsorbed,AvgKoPct,AvgSubPct,AvgDecPct,AvgAge,AvgWinStreak,RedCurrentWinStreak,BlueCurrentWinStreak,RedFinishL5,BlueFinishL5,RedLossesByKO,RedLossesBySub,RedLossesByDec,BlueLossesByKO,BlueLossesBySub,BlueLossesByDec,BlueAge,FinishL5Dif,WinPctDif,BlueWinPct,RedWinPct,LossesByKODif,LossesBySubDif,LossesByDecDif,BlueWeightLbs,RedTotalRoundsFought,BlueTotalRoundsFought,RedOdds,BlueOdds,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds
Gilbert Burns,Michael Morales,Blue,Michael Morales,Welterweight,MALE,KO/TKO,Punches,15,3,5,7,8,6,3,0,3,0,177.8,182.88,180.34,200.66,3.15,2.12,0.48,0.5,5.62,1.09,0.49,0.0,Orthodox,Orthodox,170,38,-6,9,8,0,5,4,-5.079999999999984,-20.319999999999993,13,-2.47,-0.010000000000000009,1.03,0.5,3,1,8.77,0.485,0.2,0.5,0.3333333333333333,0.0,0.4666666666666667,0.5,2.6956521739130435,2.3333333333333335,-0.3,0.3333333333333333,-0.033333333333333326,0.36231884057971,17,1516.2778128504651,1587.8837814617573,-71.60596861129216,1533.3946213919864,1526.528591901828,6.866029490158553,3.34,3.6,-0.26000000000000023,0.033333333333333326,6.9399999999999995,0.35,0.16666666666666666,0.48333333333333334,31.5,3.0,0,6,2.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,25,-1.0,-0.34782608695652173,1.0,0.6521739130434783,2.0,0.0,3.0,170,62,14,360.0,-475.0,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Sodiq Yusuff,Mairon Santos,Blue,Mairon Santos,Lightweight,MALE,DEC,No Finish,7,2,1,4,3,2,1,0,1,0,175.26,170.18,180.34,182.88,5.27,0.36,0.49,0.4,3.53,0.0,0.46,0.0,Orthodox,Orthodox,155,31,-2,5,3,1,1,3,5.079999999999984,-2.539999999999992,7,1.7399999999999998,0.02999999999999997,0.36,0.4,5,1,8.799999999999999,0.475,0.2857142857142857,0.5,0.14285714285714285,0.0,0.5714285714285714,0.5,2.4,2.5,-0.2142857142857143,0.14285714285714285,0.0714285714285714,-0.10000000000000009,8,1498.3535453189684,1529.358177514295,-31.00463219532662,1520.493855626073,1498.6745509408331,21.819304685239786,4.33,3.954347509996365,-0.22214285714285714,-0.07142857142857145,7.675875093492895,0.39285714285714285,0.07142857142857142,0.5357142857142857,27.5,1.0,0,2,3.3333333333333335,2.5,1.0,0.0,2.0,0.0,0.0,0.0,24,0.8333333333333335,-0.30000000000000004,1.0,0.7,1.0,0.0,2.0,155,24,5,130.0,-155.0,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Dustin Stoltzfus,Nursulton Ruziboev,Blue,Nursulton Ruziboev,Middleweight,MALE,DEC,No Finish,4,2,1,1,5,3,3,0,0,1,182.88,195.58,190.5,193.04,3.14,2.26,0.45,1.3,2.59,0.75,0.46,0.0,Orthodox,Orthodox,185,33,0,1,4,-1,1,1,-12.700000000000017,-2.539999999999992,2,0.5500000000000003,-0.010000000000000009,1.5099999999999998,1.3,5,1,5.73,0.455,0.5,1.0,0.25,0.0,0.25,0.0,2.0,1.75,-0.5,0.25,0.25,0.25,5,1478.3883076166396,1545.7231544235333,-67.33484680689367,1505.3841137609077,1517.6043549505423,-12.220241189634635,3.29,2.34,0.9500000000000002,-0.25,5.63,0.75,0.125,0.125,32.0,1.0,1,1,3.3333333333333335,5.0,2.0,2.0,1.0,0.0,0.0,1.0,31,-1.6666666666666665,-0.3055555555555556,0.75,0.4444444444444444,2.0,2.0,0.0,185,18,7,-107.6150253016738,41.43684415079674,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Julian Erosa,Melquizael Costa,Blue,Melquizael Costa,Featherweight,MALE,DEC,No Finish,10,3,4,3,7,4,0,2,2,2,185.42,177.8,187.96,180.34,6.21,1.78,0.48,0.7,4.44,1.96,0.49,1.2,Southpaw,Southpaw,145,35,0,6,5,3,2,1,7.619999999999976,7.6200000000000045,7,1.7699999999999996,-0.010000000000000009,-0.17999999999999994,-0.5,5,1,10.65,0.485,0.3,0.0,0.4,0.5,0.3,0.5,1.9411764705882353,2.3333333333333335,0.3,-0.09999999999999998,-0.2,-0.3921568627450982,11,1552.1027712710904,1527.382321150444,24.72045012064632,1520.0968070307517,1521.4255259509794,-1.3287189202276295,6.35,2.53,3.82,0.19999999999999996,8.879999999999999,0.15,0.45,0.4,31.5,3.0,3,3,3.0,2.5,3.0,0.0,0.0,1.0,1.0,0.0,28,0.5,-0.07843137254901955,0.6666666666666666,0.5882352941176471,2.0,-1.0,0.0,145,33,14,-107.6150253016738,41.43684415079674,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Jared Gordon,Thiago Moises,Red,Jared Gordon,Lightweight,MALE,KO/TKO,Punch,8,2,0,6,6,9,2,3,4,6,175.26,175.26,172.72,177.8,5.67,1.83,0.55,0.0,2.48,1.31,0.42,1.1,Orthodox,Orthodox,155,36,-1,-1,0,0,-3,2,0.0,-5.0800000000000125,6,3.19,0.13000000000000006,0.52,-1.1,0,0,8.15,0.485,0.25,0.2222222222222222,0.0,0.3333333333333333,0.75,0.4444444444444444,2.5714285714285716,2.466666666666667,0.02777777777777779,-0.3333333333333333,0.3055555555555556,0.10476190476190483,-1,1545.7168787951991,1524.366493693645,21.35038510155414,1519.603672042183,1519.4557045388262,0.14796750335676734,3.4,4.4,-1.0000000000000004,-0.3055555555555556,7.800000000000001,0.2361111111111111,0.16666666666666666,0.5972222222222222,33.0,0.5,0,1,1.0,3.0,0.0,1.0,2.0,2.0,1.0,2.0,30,-2.0,-0.02857142857142858,0.6,0.5714285714285714,-2.0,0.0,0.0,155,36,37,-107.6150253016738,41.43684415079674,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Yadier del Valle,Connor Matthews,Red,Yadier del Valle,Featherweight,MALE,SUB,Rear Naked Choke,1,0,0,1,0,1,0,0,1,3,175.26,172.72,175.26,180.34,7.49,2.51,0.67,1.7,4.82,3.24,0.43,0.7,Southpaw,Switch,145,28,1,0,-3,0,0,0,2.539999999999992,-5.0800000000000125,-4,2.67,0.24000000000000005,-0.7300000000000004,1.0,1,0,12.31,0.55,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.5,0.0,0.0,0.0,0.5,-3,1500.0,1459.3658300603674,40.63416993963256,1459.3658300603674,1489.0069411287693,-29.64111106840187,3.7387198849334777,5.57,-0.22214285714285714,0.0,7.675875093492895,0.0,0.0,1.0,30.0,0.5,1,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,32,0.0,0.75,0.25,1.0,-2.0,0.0,0.0,145,3,10,-107.6150253016738,41.43684415079674,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Luana Santos,Tainara Lisboa,Red,Luana Santos,Women's Bantamweight,FEMALE,SUB,Keylock,3,1,1,1,1,2,0,1,1,0,167.64,170.18,170.18,170.18,3.69,1.91,0.52,1.3,1.68,1.53,0.43,0.4,Orthodox,Orthodox,135,25,-2,1,1,1,0,0,-2.5400000000000205,0.0,-9,2.01,0.09000000000000002,0.3799999999999999,0.9,1,0,5.37,0.475,0.3333333333333333,0.0,0.3333333333333333,0.5,0.3333333333333333,0.5,2.0,3.0,0.3333333333333333,-0.16666666666666669,-0.16666666666666669,-1.0,2,1529.2944096123938,1527.1866285492208,2.107781063172979,1508.3380576985417,1511.9539128293327,-3.615855130791033,6.52,1.4,5.119999999999999,0.16666666666666663,7.92,0.16666666666666666,0.41666666666666663,0.41666666666666663,29.5,1.0,0,2,3.3333333333333335,2.5,0.0,0.0,1.0,0.0,0.0,0.0,34,0.8333333333333335,-0.25,1.0,0.75,0.0,0.0,1.0,135,8,6,-107.6150253016738,41.43684415079674,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Elise Reed,Denise Gomes,Blue,Denise Gomes,Women's Strawweight,FEMALE,KO/TKO,Punches,4,0,0,4,4,5,2,0,3,2,160.02,157.48,160.02,160.02,3.41,0.46,0.53,0.0,4.59,1.19,0.5,0.8,Orthodox,Orthodox,115,32,-1,-1,2,-2,0,1,2.5400000000000205,0.0,7,-1.1799999999999997,0.030000000000000027,-0.73,-0.8,3,1,8.0,0.515,0.0,0.4,0.0,0.0,1.0,0.6,2.5,2.5714285714285716,-0.4,0.0,0.4,-0.07142857142857162,1,1493.6822097950085,1536.7836524799197,-43.10144268491126,1502.7108376280105,1510.9813862079925,-8.270548579982005,3.06,3.66,-0.6000000000000001,-0.4,6.720000000000001,0.2,0.0,0.8,28.5,1.5,1,2,0.0,2.5,2.0,2.0,0.0,0.0,0.0,2.0,25,-2.5,-0.2142857142857143,0.7142857142857143,0.5,2.0,2.0,-2.0,115,20,18,-107.6150253016738,41.43684415079674,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
HyunSung Park,Carlos Hernandez,Red,HyunSung Park,Flyweight,MALE,SUB,Rear Naked Choke,4,2,2,0,0,4,0,0,4,3,170.18,172.72,167.64,170.18,4.27,1.9,0.46,2.9,3.83,1.56,0.45,0.2,Orthodox,Orthodox,125,29,3,0,-3,2,2,-4,-2.539999999999992,-2.5400000000000205,-2,0.4399999999999995,0.010000000000000009,0.33999999999999986,2.6999999999999997,1,0,8.1,0.455,0.5,0.0,0.5,0.0,0.0,1.0,1.75,2.5714285714285716,0.5,0.5,-1.0,-0.8214285714285716,-3,1529.496135215824,1489.7287658003359,39.76736941548825,1483.216171449758,1509.451482349032,-26.235310899274054,2.62,4.41,-1.79,1.0,7.03,0.25,0.25,0.5,30.0,2.5,4,1,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,31,5.0,0.4285714285714286,0.5714285714285714,1.0,-1.0,-1.0,-1.0,125,7,18,-107.6150253016738,41.43684415079674,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Tecia Pennington,Luana Pinheiro,Red,Tecia Pennington,Women's Strawweight,FEMALE,DEC,No Finish,10,1,1,8,7,4,1,0,2,3,154.94,157.48,152.4,157.48,4.78,0.54,0.48,0.1,3.29,2.33,0.39,0.2,Orthodox,Orthodox,115,35,1,6,4,0,1,6,-2.539999999999992,-5.079999999999984,3,1.4900000000000002,0.08999999999999997,-1.79,-0.1,2,0,8.07,0.435,0.1,0.25,0.1,0.0,0.8,0.5,2.823529411764706,2.2857142857142856,-0.15,0.1,0.30000000000000004,0.5378151260504205,10,1508.2309307679832,1487.2400367936038,20.990893974379333,1521.1138096767233,1501.4509823278333,19.662827348890005,3.7387198849334777,4.38,-0.22214285714285714,-0.04999999999999999,7.675875093492895,0.175,0.05,0.65,33.5,0.5,1,0,0.0,1.6666666666666667,0.0,0.0,1.0,1.0,1.0,1.0,32,-1.6666666666666667,0.01680672268907568,0.5714285714285714,0.5882352941176471,-1.0,-1.0,0.0,115,48,16,-107.6150253016738,41.43684415079674,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
