,RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds,RedMatchSigStr,BlueMatchSigStr,RedMatchTD,BlueMatchTD,RedMatchSubAtt,BlueMatchSubAtt,MatchFightTime,FightTag,Result
0,Jack Della Maddalena,Carlos Prates,,,,,05/ 2/2026,"Perth, Western Australia, Australia",Australia,Blue,False,Welterweight,MALE,5,0,3,0,4.41,0.54,0.0,0.18,1.0,5,1,19,0,0,0,0,8,0,0,8,Switch,185.42,198.12,170,2,0,0,5.32,0.51,0.1,0.34,0.2,9,2,29,2,0,2,2,4,1,0,9,Switch,180.34,185.42,170,29,32,-2,3,-4,-1,-1,-10,-2,4,-1,5.0800000000000125,12.699999999999989,3,-0.91,-0.1,-0.16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KO/TKO,Elbows,3.0,3:17,797.0,,,,,,,,,,,,,,May_02_26_jack_della_maddalena_carlos_prates,4
1,Beneil Dariush,Quillan Salkilld,,,,,05/ 2/2026,"Perth, Western Australia, Australia",Australia,Blue,False,Lightweight,MALE,3,0,6,0,5.01,0.57,0.8,7.25,0.35,6,0,10,0,0,0,2,3,1,0,6,Orthodox,182.88,190.5,155,2,0,1,3.74,0.49,0.8,2.21,0.38,8,8,52,0,0,2,7,3,5,0,17,Southpaw,177.8,182.88,155,36,26,-2,6,-2,-11,-8,-42,0,0,-4,5.079999999999984,7.6200000000000045,-10,1.2699999999999996,0.0,5.04,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KO/TKO,Punches,1.0,3:29,209.0,,,,,,,,,,,,,,May_02_26_beneil_dariush_quillan_salkilld,4
2,Tim Elliott,Steve Erceg,,,,,05/ 2/2026,"Perth, Western Australia, Australia",Australia,Blue,False,Flyweight,MALE,3,0,2,0,4.64,0.47,0.4,1.13,0.28,3,3,25,1,0,0,4,1,0,0,5,Orthodox,172.72,172.72,125,1,0,0,3.51,0.43,1.1,3.61,0.45,2,12,57,1,0,0,7,0,3,0,10,Southpaw,170.18,167.64,125,39,30,-1,2,1,-5,-9,-32,0,1,-3,2.539999999999992,5.079999999999984,-9,1.13,-0.7000000000000001,-2.48,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3.0,5:00,900.0,,,,,,,,,,,,,,May_02_26_tim_elliott_steve_erceg,6
3,Marwan Rahiki,Ollie Schmid,,,,,05/ 2/2026,"Perth, Western Australia, Australia",Australia,Red,False,Featherweight,MALE,3,1,0,0,3.23,0.3,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,182.88,180.34,145,0,3,0,7.75,0.52,0.8,0.0,0.0,3,0,5,0,0,0,0,3,0,0,3,Orthodox,172.72,182.88,145,23,25,1,-3,-3,-3,1,-4,0,-3,0,10.159999999999997,-2.539999999999992,2,-4.52,-0.8,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KO/TKO,Punch,1.0,2:47,167.0,,,,,,,,,,,,,,May_02_26_marwan_rahiki_ollie_schmid,1
4,Shamil Gaziev,Brando Pericic,,,,,05/ 2/2026,"Perth, Western Australia, Australia",Australia,Blue,False,Heavyweight,MALE,3,0,3,0,11.0,0.57,0.0,0.0,0.0,3,0,4,0,0,0,0,3,0,0,3,Orthodox,195.58,200.66,245,2,0,0,2.94,0.46,0.3,1.06,0.33,2,3,14,0,0,0,1,2,1,0,4,Orthodox,193.04,198.12,265,36,31,-2,3,1,-1,-3,-10,0,1,-1,2.5400000000000205,2.539999999999992,-5,8.06,-0.3,-1.06,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KO/TKO,Punch,2.0,3:44,524.0,,,,,,,,,,,,,,May_02_26_shamil_gaziev_brando_pericic,4
5,Tai Tuivasa,Louie Sutherland,,,,,05/ 2/2026,"Perth, Western Australia, Australia",Australia,Blue,False,Heavyweight,MALE,3,0,1,0,1.81,0.68,0.0,4.95,0.42,1,2,5,0,0,0,1,0,0,0,1,Orthodox,190.5,193.04,264,7,0,0,3.37,0.48,0.0,0.0,0.0,5,10,35,0,0,0,1,7,0,0,8,Southpaw,187.96,190.5,264,33,32,-7,1,-4,-7,-8,-30,0,-7,0,2.539999999999992,2.539999999999992,-1,-1.56,0.0,4.95,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3.0,5:00,900.0,,,,,,,,,,,,,,May_02_26_tai_tuivasa_louie_sutherland,6
6,Cam Rowston,Robert Bryczek,,,,,05/ 2/2026,"Perth, Western Australia, Australia",Australia,Red,False,Middleweight,MALE,3,1,0,0,2.8,0.37,0.4,0.36,1.0,1,2,9,0,0,0,0,1,0,0,1,Orthodox,182.88,190.5,185,0,4,0,4.6,0.48,0.3,1.34,0.44,4,1,10,0,0,0,1,3,0,0,4,Orthodox,190.5,198.12,185,31,35,1,-4,-3,-3,1,-1,0,-2,0,-7.6200000000000045,-7.6200000000000045,4,-1.7999999999999998,0.1,-0.98,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3.0,5:00,900.0,,,,,,,,,,,,,,May_02_26_cam_rowston_robert_bryczek,3
7,Junior Tafa,Kevin Christian,,,,,05/ 2/2026,"Perth, Western Australia, Australia",Australia,Red,False,Light Heavyweight,MALE,3,2,0,0,2.19,0.58,1.9,0.0,0.0,1,2,4,0,0,0,0,0,1,0,1,Orthodox,200.66,203.2,205,0,1,0,3.62,0.53,0.0,0.0,0.0,1,5,14,0,0,0,0,3,0,0,3,Orthodox,190.5,190.5,205,29,31,2,-1,0,-2,-3,-10,0,-3,1,10.159999999999997,12.699999999999989,2,-1.4300000000000002,1.9,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KO/TKO,Elbows,1.0,2:42,162.0,,,,,,,,,,,,,,May_02_26_junior_tafa_kevin_christian,1
8,Jacob Malkoun,Gerald Meerschaert,,,,,05/ 2/2026,"Perth, Western Australia, Australia",Australia,Red,False,Middleweight,MALE,3,5,0,0,2.95,0.45,1.5,1.7,0.29,3,14,54,0,0,0,0,1,11,0,12,Southpaw,185.42,195.58,185,0,3,0,4.23,0.56,0.8,5.39,0.42,3,3,22,0,0,0,5,1,0,0,6,Orthodox,175.26,185.42,185,30,38,5,-3,0,6,11,32,0,0,11,10.160000000000023,10.159999999999997,8,-1.2800000000000002,0.7,-3.689999999999999,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3.0,5:00,900.0,,,,,,,,,,,,,,May_02_26_jacob_malkoun_gerald_meerschaert,3
9,Colby Thicknesse,Vince Morales,,,,,05/ 2/2026,"Perth, Western Australia, Australia",Australia,Red,False,Bantamweight,MALE,3,6,0,0,3.54,0.37,0.5,0.71,0.47,2,10,35,0,0,0,2,1,0,0,3,Orthodox,170.18,177.8,135,0,2,0,3.24,0.41,1.7,0.67,0.07,2,1,9,0,0,0,2,0,0,0,2,Orthodox,170.18,175.26,135,26,35,6,-2,0,1,9,26,0,1,0,0.0,2.5400000000000205,9,0.2999999999999998,-1.2,0.0399999999999999,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3.0,5:00,900.0,,,,,,,,,,,,,,May_02_26_colby_thicknesse_vince_morales,3
