Fighter,Wins,WinsByKO,WinsBySubmission,WinsByDecision,Losses,HeightCms,ReachCms,AvgSigStrLanded,AvgTDLanded,AvgSigStrPct,AvgSubAtt,Stance,WeightLbs,Age,KoPct,SubPct,DecPct,AvgRounds,Elo,OpponentElo,SigStrAbsorbed,CurrentWinStreak,FinishL5,LossesByKO,LossesBySub,LossesByDec,WinPct,TotalRoundsFought,fighter_tag,WeightClass,Gender
Alexander Volkanovski,14,5,0,9,3,167.64,180.34,5.99,1.63,0.57,0.2,Orthodox,145,37,0.35714285714285715,0.0,0.6428571428571429,3.411764705882353,1764.0368949651404,1610.7949767058878,3.42,1,0.0,2.0,0.0,1.0,0.8235294117647058,58,alexander_volkanovski,Featherweight,MALE
Diego Lopes,6,3,1,2,3,180.34,182.88,3.83,0.88,0.47,1.4,Orthodox,145,31,0.5,0.16666666666666666,0.3333333333333333,2.4444444444444446,1580.0359536233425,1611.4303592588724,4.91,1,5.0,0.0,0.0,11.0,0.6666666666666666,22,diego_lopes,Featherweight,MALE
Dan Hooker,14,7,2,5,9,182.88,190.5,4.82,0.68,0.48,0.6,Switch,155,35,0.5,0.14285714285714285,0.35714285714285715,2.3043478260869565,1460.448406327289,1571.0146015612877,4.76,0,1.0,12.0,1.0,4.0,0.6086956521739131,53,dan_hooker,Lightweight,MALE
Benoit Saint Denis,8,4,4,0,3,180.34,185.42,5.62,4.19,0.58,1.8,Southpaw,155,30,0.5,0.5,0.0,1.8181818181818181,1690.0846133833495,1532.768220421216,5.2,3,5.0,2.0,0.0,1.0,0.7272727272727273,20,benoit_saint_denis,Lightweight,MALE
Rafael Fiziev,7,3,0,4,4,172.72,180.34,4.71,0.83,0.52,0.0,Switch,155,32,0.42857142857142855,0.0,0.5714285714285714,2.727272727272727,1435.3883127789704,1579.0347935389045,4.97,1,3.0,11.0,0.0,1.0,0.6363636363636364,30,rafael_fiziev,Lightweight,MALE
Mauricio Ruffy,4,3,0,1,1,180.34,190.5,4.19,0.0,0.58,0.0,Orthodox,155,29,0.75,0.0,0.25,2.0,1666.722574818391,1500.961418025508,4.07,0,5.0,0.0,1.0,0.0,0.8,10,mauricio_ruffy,Lightweight,MALE
Tai Tuivasa,8,7,0,1,8,187.96,190.5,3.66,0.0,0.48,0.0,Southpaw,264,32,0.875,0.0,0.125,1.8125,1424.1911011284278,1546.3415661237939,4.98,0,5.0,3.0,3.0,11.0,0.5,29,tai_tuivasa,Heavyweight,MALE
Tallison Teixeira,2,2,0,0,1,200.66,210.82,5.02,2.48,0.64,0.0,Orthodox,258,26,1.0,0.0,0.0,1.0,1609.9986642906142,1491.184388870617,3.5475,0,0.0,1.0,0.0,0.0,0.6666666666666666,3,tallison_teixeira,Heavyweight,MALE
Quillan Salkilld,4,2,0,2,0,182.88,190.5,5.16,7.95,0.57,0.8,Orthodox,155,26,0.5,0.0,0.5,2.0,1607.7515186512476,1453.4770802793685,0.0,4,5.0,0.0,0.0,0.0,1.0,8,quillan_salkilld,Lightweight,MALE
Jamie Mullarkey,6,2,0,4,6,182.88,187.96,4.1,2.46,0.46,0.1,Orthodox,155,31,0.3333333333333333,0.0,0.6666666666666666,2.25,1404.354292355371,1538.7858310765266,4.41,1,2.0,4.0,9.0,2.0,0.5,27,jamie_mullarkey,Lightweight,MALE
Junior Tafa,2,2,0,0,4,190.5,190.5,3.41,0.0,0.51,0.0,Orthodox,205,29,1.0,0.0,0.0,1.8333333333333333,1403.2659688492158,1529.0605826836593,0.55,0,5.0,1.0,11.0,1.0,0.3333333333333333,11,junior_tafa,Light Heavyweight,MALE
Billy Elekana,2,0,1,1,1,190.5,195.58,2.71,0.85,0.56,0.8,Southpaw,205,30,0.0,0.5,0.5,2.0,1586.2886911755475,1459.2244688744547,3.5475,2,5.0,0.0,1.0,0.0,0.6666666666666666,6,billy_elekana,Light Heavyweight,MALE
Cam Rowston,2,2,0,0,1,190.5,198.12,4.26,0.5,0.46,0.5,Orthodox,185,31,1.0,0.0,0.0,1.6666666666666667,1616.5206662682076,1427.9795890089542,3.63875,2,5.0,0.0,0.0,0.0,0.6666666666666666,5,cam_rowston,Middleweight,MALE
