fighter_id,Fighter,Wins,WinsByKO,WinsBySubmission,WinsByDecision,Losses,HeightCms,ReachCms,AvgSigStrLanded,AvgTDLanded,AvgSigStrPct,AvgSubAtt,Stance,WeightLbs,Age,KoPct,SubPct,DecPct,AvgRounds,Elo,OpponentElo,SigStrAbsorbed,CurrentWinStreak,FinishL5,LossesByKO,LossesBySub,LossesByDec,WinPct,TotalRoundsFought,WeightClass,Gender
1042,"Allen Crowder",1,0,0,0,1,190.5,193.04,2.95,1.85,0.51,1.2,"Orthodox",245,29,0,0,0,1.5,1500,1500,2.95,1,0,0,0,0,0.5,3,"Heavyweight","MALE"
1043,"Syuri Kondo",1,0,0,1,2,162.56,167.64,5.4,0,0.44,0.3,"Orthodox",115,30,0,0,1,2.33333,1500,1500,7.22,0,0,0,0,0,0.333333,7,"Unknown","FEMALE"
1044,"Junior Albini",1,1,0,0,3,190.5,187.96,3.98,1.54,0.51,0,"Orthodox",264,28,1,0,0,1.75,1500,1500,6.08,0,0,0,0,0,0.25,7,"Heavyweight","MALE"
1045,"Marco Polo Reyes",4,3,0,1,2,180.34,180.34,6,0,0.37,0,"Orthodox",155,34,0.75,0,0.25,1.83333,1500,1500,5.52,0,0,0,0,0,0.666667,11,"Lightweight","MALE"
1046,"Rocco Martin",8,1,3,4,4,182.88,185.42,2.7,0.68,0.36,1.1,"Orthodox",170,29,0.125,0.375,0.5,2.66667,1500,1500,3.95861,4,0,0,0,0,0.666667,32,"Welterweight","MALE"
1047,"Chance Rencountre",1,0,1,0,1,187.96,190.5,1.1,1.35,0.2,0.3,"Southpaw",170,32,0,1,0,2,1500,1500,3.62,1,0,0,0,0,0.5,4,"Welterweight","MALE"
1048,"Caludia Gadelha",5,0,1,4,4,162.56,160.02,3.17,3.34,0.42,0.8,"Orthodox",115,30,0,0.2,0.8,3,1500,1500,3.73842,0,0,0,0,0,0.555556,27,"Unknown","FEMALE"
1049,"Gilbert Melendez",17,8,0,9,7,175.26,185.42,3.44,1.64,0.33,0.2,"Orthodox",145,37,0.470588,0,0.529412,3.08333,1500,1500,2.53,0,0,0,0,0,0.708333,74,"Featherweight","MALE"
1050,"Ben Askren",1,0,1,0,0,180.34,185.42,3.64,4.33,0.49,0.9,"Orthodox",170,34,0,1,0,1,1500,1500,5.66,1,0,0,0,0,1,1,"Welterweight","MALE"
1051,"Liu Pingyuan",2,0,0,2,0,167.64,182.88,2.36,0.25,0.33,1,"Orthodox",135,26,0,0,1,3,1500,1500,3.73842,2,0,0,0,0,1,6,"Bantamweight","MALE"
1052,"Nicco Montano",1,0,0,1,0,165.1,165.1,5.6,2.25,0.41,0.4,"Southpaw",135,30,0,0,1,5,1500,1500,4.43,1,0,0,0,0,1,5,"Bantamweight","FEMALE"
1053,"Sheymon Moraes",2,0,0,2,2,172.72,182.88,3,0,0.42,0,"Orthodox",145,28,0,0,1,3,1500,1500,3.64,0,0,0,0,0,0.5,12,"Featherweight","MALE"
1054,"Cezar Ferreira",9,0,3,6,5,185.42,198.12,1.9,2.69,0.42,0.5,"Southpaw",185,34,0,0.333333,0.666667,2.21429,1500,1500,2.44,0,0,0,0,0,0.642857,31,"Middleweight","MALE"
1055,"Urijah Faber",19,2,12,5,9,167.64,170.18,2.65,1.54,0.4,0.8,"Orthodox",135,40,0.105263,0.631579,0.263158,2.78571,1500,1500,2.59,1,0,0,0,0,0.678571,78,"Bantamweight","MALE"
1057,"Juan Adams",1,1,0,0,1,195.58,203.2,7.09,0.91,0.55,0,"Orthodox",265,27,1,0,0,3,1500,1500,4.06,0,0,0,0,0,0.5,6,"Heavyweight","MALE"
1058,"Cris Cyborg",11,9,0,2,1,172.72,172.72,7.28,0.66,0.52,0.4,"Orthodox",145,34,0.818182,0,0.181818,2.25,1500,1500,3.73842,0,0,0,0,0,0.916667,27,"Featherweight","FEMALE"
1059,"Dong Hyun Ma",3,1,0,2,3,180.34,177.8,2.84,1.27,0.41,0,"Orthodox",155,30,0.333333,0,0.666667,2.33333,1500,1500,4.1,0,0,0,0,0,0.5,14,"Lightweight","MALE"
1060,"Bobby Moffett",1,0,1,0,1,177.8,185.42,3.41,2.74,0.39,1.4,"Orthodox",145,29,0,1,0,2.5,1500,1500,3.15,0,0,0,0,0,0.5,5,"Featherweight","MALE"
1061,"Vincente Luque",9,6,3,0,2,180.34,190.5,5.18,0.82,0.53,1,"Orthodox",170,27,0.666667,0.333333,0,1.18182,1500,1500,3.73842,5,0,0,0,0,0.818182,13,"Welterweight","MALE"
1062,"Liz Carmouche",7,2,0,5,6,167.64,167.64,2.78,2.57,0.54,0.3,"Orthodox",125,35,0.285714,0,0.714286,2.76923,1500,1500,2.51,2,0,0,0,0,0.538462,36,"Flyweight","FEMALE"
1063,"Nordine Taleb",7,2,0,5,4,185.42,187.96,3.66,1.94,0.51,0,"Orthodox",170,38,0.285714,0,0.714286,2.36364,1500,1500,2.62,1,0,0,0,0,0.636364,26,"Welterweight","MALE"
1064,"Mairbek Taisumov",7,5,0,2,1,175.26,185.42,2.98,1.34,0.39,0,"Orthodox",155,31,0.714286,0,0.285714,1.625,1500,1500,3.03,6,0,0,0,0,0.875,13,"Lightweight","MALE"
1065,"Martin Bravo",1,1,0,0,2,172.72,180.34,7.66,2.6,0.39,0,"Southpaw",145,26,1,0,0,2,1500,1485,5.72,0,0,0,0,0,0.333333,6,"Featherweight","MALE"
1066,"Nadia Kassem",1,0,0,1,1,165.1,167.64,3.13,0.46,0.41,2.8,"Southpaw",125,23,0,0,1,2.5,1500,1500,4.48,0,0,0,0,0,0.5,5,"Flyweight","FEMALE"
1067,"Luke Jumeau",2,0,0,2,1,180.34,182.88,2.93,0.25,0.43,0,"Orthodox",170,31,0,0,1,3,1500,1500,3.17,1,0,0,0,0,0.666667,9,"Welterweight","MALE"
1068,"Lauren Mueller",1,0,0,1,2,165.1,170.18,4.08,0.7,0.41,0,"Orthodox",125,27,0,0,1,2.33333,1500,1500,3.77,0,0,0,0,0,0.333333,7,"Flyweight","FEMALE"
1069,"James Vick",9,2,3,4,4,190.5,193.04,4.13,0.26,0.39,0.7,"Orthodox",155,32,0.222222,0.333333,0.444444,2,1480,1490,3.31,0,0,1,0,0,0.692308,26,"Lightweight","MALE"
1070,"Manny Bermudez",3,0,3,0,1,177.8,180.34,2.92,3.06,0.61,3.1,"Orthodox",145,25,0,1,0,1.75,1485,1500,2.68,0,0,0,0,1,0.75,7,"Featherweight","MALE"
1071,"Enrique Barzola",6,0,0,6,2,170.18,177.8,3.93,4.56,0.39,0.2,"Orthodox",145,30,0,0,1,3,1510,1500,2.97,1,0,0,0,0,0.75,24,"Featherweight","MALE"
1072,"Mirsad Bektic",6,2,1,3,2,172.72,177.8,2.88,3.38,0.42,0.4,"Orthodox",145,28,0.333333,0.166667,0.5,2.125,1480,1507.5,1.8,0,0,1,0,0,0.75,17,"Featherweight","MALE"
1073,"Corey Anderson",10,3,0,7,4,190.5,200.66,4.45,4.98,0.46,0,"Orthodox",205,30,0.3,0,0.7,2.5,1500,1520,2.22,4,0,0,0,0,0.714286,35,"Light Heavyweight","MALE"
1074,"Callan Potter",1,0,0,1,1,182.88,182.88,3.21,2.83,0.51,0,"Orthodox",170,35,0,0,1,2,1515,1506.25,4.72,1,0,0,0,0,0.5,4,"Welterweight","MALE"
1075,"Emil Meek",1,0,0,1,2,180.34,187.96,2.24,0.33,0.38,1.3,"Switch",170,31,0,0,1,3,1500,1515,2.53,0,0,0,0,0,0.333333,9,"Welterweight","MALE"
1076,"Magomed Mustafaev",3,3,0,0,1,172.72,180.34,3.11,0,0.57,0.7,"Orthodox",155,31,1,0,0,1.75,1500,1515,2.68,1,0,0,0,0,0.75,7,"Lightweight","MALE"
1077,"Jim Crute",2,1,1,0,1,187.96,187.96,4.56,0.58,0.57,2.3,"Orthodox",205,23,0.5,0.5,0,1.66667,1500,1487.5,3.73842,0,0,0,0,0,0.666667,5,"Light Heavyweight","MALE"
1078,"Saparbeg Safarov",1,0,0,1,2,185.42,198.12,4.29,2.8,0.48,0,"Orthodox",205,33,0,0,1,2,1500,1512.5,2.96,1,0,0,0,0,0.333333,6,"Light Heavyweight","MALE"
1079,"Weili Zhang",4,1,1,2,0,162.56,160.02,6.22,1.75,0.49,0.9,"Switch",115,30,0.25,0.25,0.5,2,1500,1515,3.73842,4,0,0,0,0,1,8,"Unknown","FEMALE"
1080,"Yoel Romero",9,7,0,2,4,182.88,185.42,3.71,1.79,0.49,0,"Southpaw",185,42,0.777778,0,0.222222,3.07692,1485,1510,3.05,0,0,0,0,1,0.692308,40,"Middleweight","MALE"
1081,"Bea Malecki",1,0,1,0,0,175.26,187.96,2.72,0,0.26,4.3,"Orthodox",135,28,0,1,0,2,1500,1512.5,6.96,1,0,0,0,0,1,2,"Bantamweight","FEMALE"
1082,"Veronica Macedo",1,0,1,0,3,162.56,162.56,1.9,0.8,0.45,0.8,"Southpaw",125,24,0,1,0,2.25,1512.5,1500,3.73842,1,5,0,0,0,0.25,9,"Flyweight","FEMALE"
1083,"Aleksei Kunchenko",2,0,0,2,1,172.72,177.8,3.62,0.33,0.42,0,"Orthodox",170,35,0,0,1,3,1485,1493.75,2.83,0,0,0,0,1,0.666667,9,"Welterweight","MALE"
1084,"Elizeu Dos Santos",7,3,1,3,2,180.34,185.42,4.18,0.45,0.39,0.6,"Orthodox",170,33,0.428571,0.142857,0.428571,2.44444,1487.5,1492.5,3.73842,0,0,0,0,0,0.777778,22,"Welterweight","MALE"
1085,"Yorgan De Castro",1,1,0,0,0,182.88,187.96,3.58,0,0.53,0,"Orthodox",250,33,1,0,0,1,1520,1510,3.85,1,5,0,0,0,1,1,"Heavyweight","MALE"
1086,"Sarah Moras",3,1,1,1,4,170.18,170.18,2.04,0.91,0.41,1.1,"Orthodox",135,32,0.333333,0.333333,0.333333,2.57143,1520,1492.5,3.58,1,5,0,0,0,0.428571,18,"Bantamweight","FEMALE"
1087,"Ray Borg",7,0,2,5,4,162.56,160.02,1.36,4.26,0.52,1.1,"Orthodox",135,26,0,0.285714,0.714286,3,1530.22,1500,1.93,2,0,0,0,0,0.636364,33,"Bantamweight","MALE"
1088,"Klidson Abreu",1,0,0,1,2,182.88,187.96,2.02,0.67,0.39,0,"Orthodox",205,27,0,0,1,3,1515,1500,2.9,0,0,0,0,0,0.333333,9,"Light Heavyweight","MALE"
1089,"Hannah Cifers",2,0,0,2,2,154.94,157.48,4.82,0.32,0.45,0.3,"Orthodox",115,27,0,0,1,2.5,1515,1492.77,5.39,0,0,0,0,0,0.5,10,"Unknown","FEMALE"
1090,"Evan Dunham",11,2,1,8,8,177.8,177.8,5.35,1.83,0.39,1,"Southpaw",155,38,0.181818,0.0909091,0.727273,2.57895,1500,1500,3.54,0,0,0,0,0,0.578947,49,"Lightweight","MALE"
1091,"Jussier Formiga",9,0,3,6,6,165.1,170.18,1.35,1.87,0.39,0.6,"Orthodox",125,35,0,0.333333,0.666667,2.46667,1465.86,1500,2.34,0,0,1,0,1,0.6,37,"Flyweight","MALE"
1092,"Anthony Rocco Martin",9,1,3,5,5,182.88,185.42,2.7,0.68,0.36,1.1,"Orthodox",170,30,0.111111,0.333333,0.555556,2.71429,1500,1512.95,2.59,1,0,0,0,0,0.642857,38,"Welterweight","MALE"
1093,"Mark De La Rosa",2,0,1,1,4,167.64,165.1,3.28,0.66,0.36,0.2,"Orthodox",135,25,0,0.5,0.5,0.166667,1464.71,1489.17,5,0,0,1,0,1,0.333333,1,"Bantamweight","MALE"
1094,"Brianna Van Buren",1,0,0,1,0,152.4,157.48,4.8,3,0.38,0,"Southpaw",115,26,0,0,1,3,1515,1492.5,3.95861,1,0,0,0,0,1,3,"Unknown","FEMALE"
1095,"Lyman Good",3,3,0,0,2,182.88,187.96,5.32,0.38,0.49,0,"Orthodox",170,35,1,0,0,2,1500,1512.5,4.01,1,0,0,0,0,0.6,10,"Welterweight","MALE"
1096,"Danny Henry",2,0,1,1,1,182.88,185.42,5.85,0.89,0.53,2.7,"Orthodox",145,31,0,0.5,0.5,1.66667,1500,1500,4.16,0,0,0,0,0,0.666667,5,"Featherweight","MALE"
1097,"Paige VanZant",5,2,2,1,3,162.56,165.1,3.4,1.31,0.52,1,"Orthodox",115,26,0.4,0.4,0.2,2.75,1500,1540.73,2.62,1,0,0,0,0,0.625,22,"Unknown","FEMALE"
1098,"Chris Fishgold",1,0,1,0,2,172.72,172.72,2.53,4.55,0.31,1.5,"Orthodox",145,28,0,1,0,1.66667,1500,1515,2.7,0,0,0,0,0,0.333333,5,"Featherweight","MALE"
1099,"Ryan Benoit",3,2,0,1,4,165.1,172.72,2.8,0.2,0.4,0.2,"Orthodox",125,30,0.666667,0,0.333333,2.42857,1500,1475.97,3.65,0,0,0,0,0,0.428571,17,"Flyweight","MALE"
1100,"Davi Ramos",4,0,3,1,2,167.64,177.8,2.74,2.42,0.39,0.7,"Orthodox",155,33,0,0.75,0.25,2.33333,1485,1507.5,3.44,0,0,0,0,1,0.666667,14,"Lightweight","MALE"
1101,"Brett Johns",4,0,2,2,2,170.18,180.34,3.3,4.29,0.48,1,"Orthodox",135,28,0,0.5,0.5,2.66667,1500,1500,3.84,1,0,0,0,0,0.666667,16,"Bantamweight","MALE"
1102,"Joe Duffy",4,1,2,1,3,177.8,185.42,2.56,0.75,0.33,0.8,"Orthodox",155,32,0.25,0.5,0.25,2,1500,1500,3.78,0,0,0,0,0,0.571429,14,"Lightweight","MALE"
1103,"Nad Narimani",2,0,0,2,1,172.72,177.8,3.8,2.64,0.43,0,"Orthodox",145,33,0,0,1,2.66667,1500,1512.5,3,0,0,0,0,0,0.666667,8,"Featherweight","MALE"
