RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds
Diego Lopes,Jean Silva,,,,,09/13/2025,"San Antonio, Texas, USA",USA,Red,False,Featherweight,MALE,5,0,6,0,4.79,.51,0.8,0.50,0.5,6,0,12,0,0,0,1,4,1,0,6,Orthodox,170.18,175.26,145,1,0,0,4.10,.48,1.7,0.79,0.55,5,3,20,1,0,0,2,2,1,0,5,Orthodox,180.34,182.88,145,30,28,-1,6,1,1,-3,-8,-1,2,0,-10.159999999999997,-7.6200000000000045,-2,0.6900000000000004,-0.8999999999999999,-0.29000000000000004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KO/TKO,Punches,2,4:48,588,,,,,,
Rob Font,David Martinez,,,,,09/13/2025,"San Antonio, Texas, USA",USA,Blue,False,Bantamweight,MALE,3,0,2,0,4.85,.47,0.0,0.00,0.0,2,0,4,0,0,0,1,1,0,0,2,Orthodox,165.1,170.18,135,0,2,0,5.36,.45,0.3,0.74,0.3,4,7,52,0,0,1,4,6,1,0,12,Orthodox,172.72,180.34,135,38,27,0,0,-2,-10,-7,-48,0,-5,-1,-7.6200000000000045,-10.159999999999997,-11,-0.5100000000000007,-0.3,-0.74,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3,5:00,900,,,,,,
Rafa Garcia,Jared Gordon,,,,,09/13/2025,"San Antonio, Texas, USA",USA,Red,False,Lightweight,MALE,3,0,1,0,5.64,.53,0.0,1.78,0.32,3,6,37,0,0,1,5,3,0,0,9,Orthodox,175.26,172.72,155,0,1,0,4.31,.45,0.5,3.13,0.44,2,4,25,0,0,0,4,0,1,0,5,Orthodox,170.18,177.8,155,31,37,0,0,1,4,2,12,0,3,-1,5.079999999999984,-5.0800000000000125,6,1.33,-0.5,-1.3499999999999999,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KO/TKO,Elbows,3,2:27,747,,,,,,
Kelvin Gastelum,Dustin Stoltzfus,,,,,09/13/2025,"San Antonio, Texas, USA",USA,Red,False,Middleweight,MALE,3,1,0,0,3.30,.45,1.1,2.08,0.37,1,6,21,0,0,0,1,2,1,0,4,Orthodox,182.88,190.5,185,1,0,0,3.67,.42,0.1,1.01,0.34,5,10,69,2,0,3,5,3,2,0,13,Southpaw,175.26,180.34,185,33,33,0,0,-4,-9,-4,-48,-2,-1,-1,7.6200000000000045,10.159999999999997,0,-0.3700000000000001,1.0,1.07,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3,5:00,900,,,,,,
Alexander Hernandez,Diego Ferreira,,,,,09/13/2025,"San Antonio, Texas, USA",USA,Red,False,Lightweight,MALE,3,1,0,0,4.70,.39,0.6,0.82,0.3,6,6,36,0,0,0,3,5,2,0,10,Orthodox,175.26,187.96,155,0,3,0,4.31,.40,0.1,1.14,0.36,3,7,36,0,0,1,4,4,0,0,9,Orthodox,175.26,182.88,155,32,40,1,-3,3,1,-1,0,0,1,2,0.0,5.0800000000000125,8,0.39000000000000057,0.5,-0.31999999999999995,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KO/TKO,Punches,2,3:46,526,,,,,,
Santiago Luna,Quang Le,,,,,09/13/2025,"San Antonio, Texas, USA",USA,Red,False,Bantamweight,MALE,3,0,1,0,2.82,.38,0.4,2.90,0.33,1,2,8,0,0,0,0,0,1,0,1,Orthodox,170.18,177.8,135,0,0,0,5.36,.37,0.0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,187.96,135,21,33,0,1,1,1,2,8,0,0,1,-5.079999999999984,-10.159999999999997,12,-2.5400000000000005,0.4,2.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KO/TKO,Punch,1,2:48,168,,,,,,
Jose Daniel Medina,Dusko Todorovic,,,,,09/13/2025,"San Antonio, Texas, USA",USA,Blue,False,Middleweight,MALE,3,3,0,0,4.73,.57,0.3,1.77,0.21,2,6,18,0,0,0,1,3,0,0,4,Orthodox,185.42000000000002,187.96,185,3,0,0,2.16,.36,0.0,0.40,0.33,0,3,7,0,0,0,0,0,0,0,0,Orthodox,182.88,187.96,185,34,31,0,0,2,4,3,11,0,3,0,2.5400000000000205,0.0,-3,2.5700000000000003,0.3,1.37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUB,Rear Naked Choke,1,4:21,261,,,,,,
Claudio Puelles,Joaquim Silva,,,,,09/13/2025,"San Antonio, Texas, USA",USA,Blue,False,Lightweight,MALE,3,1,0,0,3.43,.43,0.8,0.34,0.5,3,5,27,0,0,2,1,3,0,0,6,Southpaw,172.72,175.26,155,2,0,0,1.54,.46,1.0,3.29,0.33,5,3,20,1,0,0,2,0,3,0,5,Southpaw,177.8,182.88,155,29,36,-1,0,-2,1,2,7,-1,3,-3,-5.0800000000000125,-7.6200000000000045,7,1.8900000000000001,-0.19999999999999996,-2.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-DEC,,3,5:00,900,,,,,,
Tatiana Suarez,Amanda Lemos,,,,,09/13/2025,"San Antonio, Texas, USA",USA,Red,False,Women's Strawweight,FEMALE,3,0,1,0,2.75,.55,0.7,1.02,0.62,5,4,30,1,0,1,3,3,2,0,9,Southpaw,162.56,165.1,115,1,0,0,2.95,.60,0.6,4.41,0.43,7,1,20,2,0,0,2,1,4,0,7,Southpaw,165.1,167.64000000000001,115,34,38,-1,1,-2,2,3,10,-1,2,-2,-2.539999999999992,-2.5400000000000205,4,-0.20000000000000018,0.09999999999999998,-3.39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3,5:00,900,,,,,,
Jesus Aguilar,Luis Gurule,,,,,09/13/2025,"San Antonio, Texas, USA",USA,Red,False,Flyweight,MALE,3,1,0,0,4.93,.42,0.0,0.41,0.09,1,1,5,0,0,1,0,0,0,0,1,Orthodox,165.1,162.56,125,1,0,0,2.65,.40,1.4,1.64,0.31,3,2,12,0,0,1,0,1,2,0,4,Orthodox,162.56,157.48,125,29,31,0,0,-2,-3,-1,-7,0,-1,-2,2.539999999999992,5.0800000000000125,2,2.28,-1.4,-1.23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3,5:00,900,,,,,,
Zachary Reese,Sedriques Dumas,,,,,09/13/2025,"San Antonio, Texas, USA",USA,No Contest,False,Middleweight,MALE,3,1,0,0,2.12,.44,0.2,1.23,0.35,2,3,14,0,0,0,3,0,1,0,4,Orthodox,187.96,200.66,185,0,1,0,4.24,.53,1.2,2.82,0.58,2,2,10,0,0,0,2,1,1,0,4,Switch,193.04,195.58,185,31,30,1,-1,0,0,1,4,0,-1,0,-5.079999999999984,5.079999999999984,-1,-2.12,-1.0,-1.5899999999999999,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CNC,,1,0:51,51,,,,,,
Alessandro Costa,Alden Coria,,,,,09/13/2025,"San Antonio, Texas, USA",USA,Blue,False,Flyweight,MALE,3,0,0,0,3.89,.44,0.0,2.78,1.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,170.18,125,0,1,0,3.64,.44,0.5,0.46,0.16,1,2,13,0,0,1,0,2,0,0,3,Orthodox,162.56,170.18,125,29,27,0,-1,-1,-3,-2,-13,0,-2,0,10.159999999999997,0.0,-2,0.25,-0.5,2.32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KO/TKO,Punches,3,0:47,647,,,,,,
Montse Rendon,Alice Pereira,,,,,09/13/2025,"San Antonio, Texas, USA",USA,Red,False,Women's Bantamweight,FEMALE,3,0,0,0,2.47,.31,0.0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,180.34,135,1,0,0,3.09,.28,0.3,2.00,0.37,1,1,6,0,0,1,0,0,0,0,1,Orthodox,172.72,172.72,135,36,19,-1,0,-1,-1,-1,-6,0,0,0,0.0,7.6200000000000045,-17,-0.6199999999999997,-0.3,-2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-DEC,,3,5:00,900,,,,,,
Rodrigo Sezinando,Daniil Donchenko,,,,,09/13/2025,"San Antonio, Texas, USA",USA,Blue,True,Welterweight,MALE,5,0,0,0,8.76,.57,0.0,3.37,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,180.34,170,0,0,0,2.25,.27,0.0,3.37,0.25,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,180.34,170,27,24,0,0,0,0,0,0,0,0,0,5.0800000000000125,0.0,-3,6.51,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KO/TKO,Punches,1,4:27,267,,,,,,
